Súhrnné vısledky hlasovania za okresy;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Kód kraja;Názov kraja;Kód územného obvodu;Názov územného obvodu;Kód okresu;Názov okresu;Poèet okrskov;Poèet zapísanıch volièov;Poèet vydanıch obálok;Úèas volièov v %;Poèet odovzdanıch obálok; Podiel odovzdanıch obálok v %;Poèet platnıch hlasov všetkıch kandidátov; Podiel platnıch hlasov všetkıch kandidátov v %;Poèet zapísanıch volièov 2.kolo;Poèet vydanıch obálok 2.kolo;Úèas volièov v %;Poèet odovzdanıch obálok 2.kolo; Podiel odovzdanıch obálok v % 2.kolo;Poèet platnıch hlasov všetkıch kandidátov 2.kolo; Podiel platnıch hlasov všetkıch kandidátov v %  2.kolo
5;ilinskı kraj;504;Martin;506;Martin;107;78588;43275;55,06;43270;99,98;43015;99,41;78449;36622;46,68;36622;100;35859;97,91
5;ilinskı kraj;504;Martin;509;Turèianske Teplice;32;13619;7375;54,15;7375;100;7331;99,4;13714;6329;46,14;6328;99,98;6189;97,8
5;ilinskı kraj;505;Námestovo;507;Námestovo;45;46005;24128;52,44;24121;99,97;23967;99,36;45911;17319;37,72;17315;99,97;16566;95,67
5;ilinskı kraj;505;Námestovo;510;Tvrdošín;32;28265;16331;57,77;16325;99,96;16195;99,2;28224;12836;45,47;12834;99,98;12353;96,25
5;ilinskı kraj;506;Ruomberok;508;Ruomberok;58;47451;26145;55,09;26125;99,92;25944;99,3;47390;21030;44,37;21026;99,98;20352;96,79
5;ilinskı kraj;507;ilina;501;Bytèa;33;25066;12629;50,38;12627;99,98;12549;99,38;25048;10268;40,99;10266;99,98;10056;97,95
5;ilinskı kraj;507;ilina;504;Kysucké Nové Mesto;28;26740;14288;53,43;14281;99,95;14183;99,31;26735;11702;43,77;11700;99,98;11386;97,31
5;ilinskı kraj;507;ilina;511;ilina;157;131245;72920;55,56;72905;99,97;72537;99,49;131108;62153;47,4;62145;99,98;60831;97,88
6;Banskobystrickı kraj;601;Banská Bystrica;601;Banská Bystrica;129;91492;50555;55,25;50536;99,96;50271;99,47;90805;43677;48,09;43661;99,96;42847;98,13
6;Banskobystrickı kraj;602;Brezno;603;Brezno;68;49941;22943;45,94;22936;99,96;22764;99,25;50146;19337;38,56;19333;99,97;18955;98,04
6;Banskobystrickı kraj;603;Luèenec;606;Luèenec;95;57531;21321;37,06;21317;99,98;21151;99,22;57652;17995;31,21;17992;99,98;17669;98,2
6;Banskobystrickı kraj;603;Luèenec;607;Poltár;38;17408;7960;45,72;7957;99,96;7899;99,27;17385;6321;36,35;6320;99,98;6172;97,65
6;Banskobystrickı kraj;604;Rimavská Sobota;608;Revúca;66;30705;10583;34,46;10583;100;10479;99,01;30629;8431;27,52;8429;99,97;8267;98,07
6;Banskobystrickı kraj;604;Rimavská Sobota;609;Rimavská Sobota;151;64251;21671;33,72;21670;99,99;21423;98,86;63417;16981;26,77;16980;99,99;16631;97,94
6;Banskobystrickı kraj;605;Ve¾kı Krtíš;610;Ve¾kı Krtíš;85;35225;14084;39,98;14081;99,97;13967;99,19;35152;11320;32,2;11320;100;11063;97,72
6;Banskobystrickı kraj;606;Zvolen;604;Detva;46;26323;12684;48,18;12684;100;12607;99,39;26317;10403;39,52;10401;99,98;10158;97,66
6;Banskobystrickı kraj;606;Zvolen;605;Krupina;45;17836;9439;52,92;9431;99,91;9361;99,25;17832;7384;41,4;7381;99,95;7138;96,7
6;Banskobystrickı kraj;606;Zvolen;611;Zvolen;76;55618;29270;52,62;29265;99,98;29098;99,42;55544;25285;45,52;25282;99,98;24762;97,94
6;Banskobystrickı kraj;607;iar nad Hronom;602;Banská Štiavnica;24;13214;6762;51,17;6762;100;6726;99,46;13254;5695;42,96;5693;99,96;5572;97,87
6;Banskobystrickı kraj;607;iar nad Hronom;612;arnovica;33;21308;10798;50,67;10787;99,89;10705;99,23;21365;8754;40,97;8754;100;8509;97,2
6;Banskobystrickı kraj;607;iar nad Hronom;613;iar nad Hronom;56;37923;19387;51,12;19377;99,94;19267;99,43;37872;15962;42,14;15960;99,98;15647;98,03
7;Prešovskı kraj;701;Bardejov;701;Bardejov;116;59910;28536;47,63;28527;99,96;28382;99,49;59770;24056;40,24;24055;99,99;23373;97,16
7;Prešovskı kraj;702;Humenné;702;Humenné;86;50160;22381;44,61;22378;99,98;22219;99,28;49988;18845;37,69;18840;99,97;18441;97,88
7;Prešovskı kraj;702;Humenné;705;Medzilaborce;30;9265;3810;41,12;3810;100;3774;99,05;9339;3351;35,88;3348;99,91;3297;98,47
7;Prešovskı kraj;702;Humenné;709;Snina;48;29508;11195;37,93;11190;99,95;11136;99,51;29568;9637;32,59;9637;100;9475;98,31
7;Prešovskı kraj;703;Kemarok;703;Kemarok;67;52474;22579;43,02;22575;99,98;22403;99,23;52236;16606;31,79;16604;99,98;15924;95,9
7;Prešovskı kraj;704;Poprad;704;Levoèa;47;25706;11625;45,22;11623;99,98;11551;99,38;25596;9392;36,69;9392;100;9050;96,35
7;Prešovskı kraj;704;Poprad;706;Poprad;89;84173;42696;50,72;42679;99,96;42434;99,42;83073;34834;41,93;34828;99,98;33891;97,3
7;Prešovskı kraj;705;Prešov;707;Prešov;180;133786;68121;50,91;68108;99,98;67741;99,46;133071;57634;43,31;57627;99,98;55864;96,94
7;Prešovskı kraj;705;Prešov;708;Sabinov;61;43703;19896;45,52;19894;99,98;19719;99,12;43559;16174;37,13;16174;100;15579;96,32
7;Prešovskı kraj;706;Stará ¼ubovòa;710;Stará ¼ubovòa;62;39869;17718;44,44;17713;99,97;17575;99,22;39741;14470;36,41;14466;99,97;13934;96,32
7;Prešovskı kraj;707;Stropkov;711;Stropkov;52;16141;7395;45,81;7395;100;7336;99,2;16102;6478;40,23;6478;100;6315;97,48
7;Prešovskı kraj;708;Svidník;712;Svidník;78;25789;11655;45,19;11655;100;11591;99,45;25608;9744;38,05;9744;100;9509;97,58
7;Prešovskı kraj;709;Vranov nad Top¾ou;713;Vranov nad Top¾ou;93;60693;24673;40,65;24664;99,96;24510;99,37;60713;20190;33,25;20178;99,94;19707;97,66
8;Košickı kraj;801;Košice;802;Košice I;58;54540;27548;50,5;27541;99,97;27403;99,49;54133;24320;44,92;24315;99,97;23912;98,34
8;Košickı kraj;801;Košice;803;Košice II;60;65197;30123;46,2;30113;99,96;29977;99,54;64778;26481;40,87;26476;99,98;25992;98,17
8;Košickı kraj;801;Košice;804;Košice III;26;23991;10956;45,66;10951;99,95;10891;99,45;23883;9661;40,45;9661;100;9487;98,19
8;Košickı kraj;801;Košice;805;Košice IV;54;47660;23514;49,33;23509;99,97;23410;99,57;47452;20897;44,03;20896;99,99;20497;98,09
8;Košickı kraj;802;Košice - okolie;806;Košice - okolie;144;96611;41016;42,45;41002;99,96;40680;99,21;96687;33640;34,79;33635;99,98;32929;97,9
8;Košickı kraj;803;Michalovce;807;Michalovce;132;86702;32803;37,83;32800;99,99;32574;99,31;85994;27176;31,6;27174;99,99;26667;98,13
8;Košickı kraj;803;Michalovce;809;Sobrance;52;17913;7700;42,98;7699;99,98;7658;99,46;17895;6457;36,08;6456;99,98;6327;98
8;Košickı kraj;804;Roòava;808;Roòava;88;47830;18027;37,68;18025;99,98;17886;99,22;47786;14780;30,92;14780;100;14493;98,05
8;Košickı kraj;805;Spišská Nová Ves;801;Gelnica;31;23915;9225;38,57;9221;99,95;9161;99,34;23877;7371;30,87;7371;100;7175;97,34
8;Košickı kraj;805;Spišská Nová Ves;810;Spišská Nová Ves;83;73532;31943;43,44;31942;99,99;31752;99,4;73318;26107;35,6;26106;99,99;25376;97,2
8;Košickı kraj;806;Trebišov;811;Trebišov;127;81882;27454;33,52;27448;99,97;27177;99,01;81895;22623;27,62;22623;100;22129;97,81
