Súhrnné vısledky hlasovania za obce;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Kód kraja;Názov kraja;Kód územného obvodu;Názov územného obvodu;Kód okresu;Názov okresu;Kód obce;Názov obce;Poèet okrskov ;Poèet zapísanıch volièov;Poèet vydanıch obálok;"Úèas volièov 
v %";Poèet odovzdanıch obálok;Podiel odovzdanıch obálok v %;Poèet platnıch hlasov všetkıch kandidátov; Podiel platnıch hlasov všetkıch kandidátov v %;Poèet zapísanıch volièov 2.kolo;Poèet vydanıch obálok 2.kolo;"Úèas volièov 
v %  2.kolo";Poèet odovzdanıch obálok 2.kolo;Podiel odovzdanıch obálok v % 2.kolo;Poèet platnıch hlasov všetkıch kandidátov 2.kolo; Podiel platnıch hlasov všetkıch kandidátov v % 2.kolo
1;Bratislavskı kraj;102;Malacky;106;Malacky;504769;Rohoník;3;2889;1357;46,97;1357;100;1350;99,48;2882;1167;40,49;1167;100;1128;96,65
1;Bratislavskı kraj;102;Malacky;106;Malacky;504858;Sološnica;1;1340;724;54,02;724;100;720;99,44;1372;672;48,97;672;100;660;98,21
1;Bratislavskı kraj;102;Malacky;106;Malacky;504874;Studienka;1;1438;686;47,7;686;100;685;99,85;1427;588;41,2;588;100;585;99,48
1;Bratislavskı kraj;102;Malacky;106;Malacky;508233;Stupava;8;9249;5630;60,87;5626;99,92;5604;99,6;9285;5156;55,53;5156;100;5087;98,66
1;Bratislavskı kraj;102;Malacky;106;Malacky;508241;Suchohrad;1;581;293;50,43;293;100;292;99,65;594;247;41,58;247;100;245;99,19
1;Bratislavskı kraj;102;Malacky;106;Malacky;504947;Ve¾ké Leváre;3;3036;1367;45,02;1367;100;1356;99,19;3030;1134;37,42;1134;100;1112;98,05
1;Bratislavskı kraj;102;Malacky;106;Malacky;508349;Vysoká pri Morave;2;1840;902;49,02;902;100;899;99,66;1829;752;41,11;752;100;743;98,8
1;Bratislavskı kraj;102;Malacky;106;Malacky;500267;Záhorie (vojenskı obvod);1;140;66;47,14;66;100;65;98,48;144;53;36,8;53;100;44;83,01
1;Bratislavskı kraj;102;Malacky;106;Malacky;508365;Záhorská Ves;1;1497;560;37,4;560;100;556;99,28;1498;476;31,77;476;100;472;99,15
1;Bratislavskı kraj;102;Malacky;106;Malacky;504980;Závod;2;2367;991;41,86;991;100;986;99,49;2353;829;35,23;829;100;822;99,15
1;Bratislavskı kraj;102;Malacky;106;Malacky;508381;Zohor;2;2700;1417;52,48;1417;100;1413;99,71;2711;1306;48,17;1306;100;1288;98,62
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;507806;Báhoò;1;1532;868;56,65;868;100;864;99,53;1530;765;50;765;100;750;98,03
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;507849;Budmerice;2;1944;1066;54,83;1066;100;1058;99,24;1944;923;47,47;923;100;905;98,04
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;507857;Èastá;2;1908;1110;58,17;1110;100;1106;99,63;1908;926;48,53;926;100;914;98,7
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;507873;Do¾any;1;903;622;68,88;622;100;619;99,51;889;522;58,71;522;100;506;96,93
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;507881;Dubová;1;927;595;64,18;595;100;591;99,32;926;496;53,56;496;100;488;98,38
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;507946;Jablonec;1;801;458;57,17;458;100;456;99,56;797;365;45,79;365;100;358;98,08
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508047;Limbach;2;1667;1140;68,38;1140;100;1140;100;1643;1029;62,62;1029;100;1022;99,31
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508101;Modra;7;7805;4711;60,35;4709;99,95;4695;99,7;7748;4256;54,93;4253;99,92;4194;98,61
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508179;Pezinok;18;19823;12520;63,15;12518;99,98;12471;99,62;19812;11464;57,86;11460;99,96;11308;98,67
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508187;Píla;1;297;179;60,26;179;100;179;100;322;190;59;190;100;189;99,47
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508225;Slovenskı Grob;3;3269;2101;64,27;2101;100;2093;99,61;3271;1907;58,3;1907;100;1886;98,89
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;507989;Svätı Jur;5;4707;2799;59,46;2796;99,89;2779;99,39;4721;2603;55,13;2600;99,88;2534;97,46
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508250;Šenkvice;4;4112;2541;61,79;2540;99,96;2530;99,6;4103;2237;54,52;2237;100;2194;98,07
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508268;Štefanová;1;308;179;58,11;179;100;178;99,44;306;153;50;153;100;152;99,34
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508306;Vinièné;2;2034;1375;67,6;1375;100;1369;99,56;2003;1185;59,16;1185;100;1168;98,56
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508314;Vinosady;1;1120;764;68,21;764;100;762;99,73;1086;660;60,77;660;100;656;99,39
1;Bratislavskı kraj;103;Pezinok;107;Pezinok;508322;Vištuk;1;1147;623;54,31;623;100;618;99,19;1143;562;49,16;561;99,82;546;97,32
1;Bratislavskı kraj;104;Senec;108;Senec;507814;Bernolákovo;6;6048;3769;62,31;3769;100;3754;99,6;6076;3283;54,03;3283;100;3239;98,65
1;Bratislavskı kraj;104;Senec;108;Senec;507822;Blatné;1;1381;824;59,66;824;100;820;99,51;1393;743;53,33;743;100;733;98,65
1;Bratislavskı kraj;104;Senec;108;Senec;503681;Boldog;1;404;245;60,64;245;100;244;99,59;403;240;59,55;240;100;234;97,5
1;Bratislavskı kraj;104;Senec;108;Senec;507865;Èataj;1;967;615;63,59;615;100;614;99,83;979;546;55,77;546;100;536;98,16
1;Bratislavskı kraj;104;Senec;108;Senec;545333;Dunajská Luná;5;5085;3238;63,67;3237;99,96;3227;99,69;5092;2856;56,08;2853;99,89;2809;98,45
1;Bratislavskı kraj;104;Senec;108;Senec;507903;Hamuliakovo;1;1858;1063;57,21;1062;99,9;1062;100;1883;1009;53,58;1009;100;997;98,81
1;Bratislavskı kraj;104;Senec;108;Senec;503797;Hrubá Borša;1;808;533;65,96;533;100;531;99,62;839;506;60,3;505;99,8;493;97,62
1;Bratislavskı kraj;104;Senec;108;Senec;503801;Hrubı Šúr;1;753;438;58,16;438;100;436;99,54;761;381;50,06;381;100;376;98,68
1;Bratislavskı kraj;104;Senec;108;Senec;503819;Hurbanova Ves;1;317;200;63,09;200;100;200;100;324;199;61,41;199;100;192;96,48
1;Bratislavskı kraj;104;Senec;108;Senec;507911;Chorvátsky Grob;4;4552;3029;66,54;3029;100;3023;99,8;4540;2868;63,17;2868;100;2856;99,58
1;Bratislavskı kraj;104;Senec;108;Senec;555487;Igram;1;480;267;55,62;267;100;265;99,25;480;222;46,25;222;100;214;96,39
1;Bratislavskı kraj;104;Senec;108;Senec;507938;Ivanka pri Dunaji;4;5308;3416;64,35;3407;99,73;3391;99,53;5303;3040;57,32;3040;100;2956;97,23
1;Bratislavskı kraj;104;Senec;108;Senec;507997;Kalinkovo;1;1126;697;61,9;697;100;691;99,13;1118;644;57,6;644;100;630;97,82
1;Bratislavskı kraj;104;Senec;108;Senec;555495;Kaplna;1;703;399;56,75;399;100;393;98,49;709;365;51,48;365;100;359;98,35
1;Bratislavskı kraj;104;Senec;108;Senec;503851;Kostolná pri Dunaji;1;546;337;61,72;337;100;334;99,1;557;300;53,85;300;100;298;99,33
1;Bratislavskı kraj;104;Senec;108;Senec;503894;Krá¾ová pri Senci;1;1612;1002;62,15;1002;100;993;99,1;1618;911;56,3;911;100;888;97,47
1;Bratislavskı kraj;104;Senec;108;Senec;508071;Malinovo;2;2736;1751;63,99;1751;100;1741;99,42;2735;1605;58,68;1604;99,93;1579;98,44
1;Bratislavskı kraj;104;Senec;108;Senec;508098;Miloslavov;2;2336;1634;69,94;1633;99,93;1624;99,44;2333;1527;65,45;1527;100;1512;99,01
1;Bratislavskı kraj;104;Senec;108;Senec;508110;Most pri Bratislave;2;2644;1648;62,32;1648;100;1642;99,63;2639;1413;53,54;1413;100;1394;98,65
1;Bratislavskı kraj;104;Senec;108;Senec;508136;Nová Dedinka;2;2150;1295;60,23;1295;100;1289;99,53;2172;1174;54,05;1174;100;1145;97,52
1;Bratislavskı kraj;104;Senec;108;Senec;582549;Novı Svet;1;82;56;68,29;56;100;56;100;85;44;51,76;44;100;43;97,72
1;Bratislavskı kraj;104;Senec;108;Senec;503983;Reca;1;1255;658;52,43;658;100;648;98,48;1274;564;44,27;564;100;550;97,51
1;Bratislavskı kraj;104;Senec;108;Senec;508209;Rovinka;3;3268;2054;62,85;2054;100;2049;99,75;3285;1833;55,79;1833;100;1809;98,69
1;Bratislavskı kraj;104;Senec;108;Senec;508217;Senec;16;15285;8200;53,64;8199;99,98;8156;99,47;15289;7366;48,17;7366;100;7223;98,05
1;Bratislavskı kraj;104;Senec;108;Senec;508276;Tomášov;2;2124;1163;54,75;1163;100;1158;99,57;2135;1117;52,31;1117;100;1106;99,01
1;Bratislavskı kraj;104;Senec;108;Senec;508284;Tureò;1;920;521;56,63;521;100;518;99,42;923;470;50,92;470;100;462;98,29
1;Bratislavskı kraj;104;Senec;108;Senec;508292;Ve¾kı Biel;2;2164;1190;54,99;1190;100;1186;99,66;2213;1093;49,38;1091;99,81;1080;98,99
1;Bratislavskı kraj;104;Senec;108;Senec;508331;Vlky;1;372;212;56,98;212;100;209;98,58;370;171;46,21;171;100;168;98,24
1;Bratislavskı kraj;104;Senec;108;Senec;555509;Zálesie;2;1529;1079;70,56;1079;100;1078;99,9;1528;980;64,13;980;100;960;97,95
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501441;Báè;1;472;248;52,54;248;100;238;95,96;475;221;46,52;221;100;219;99,09
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501450;Baka;1;973;295;30,31;293;99,32;290;98,97;981;297;30,27;297;100;294;98,98
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501468;Baloò;1;619;156;25,2;156;100;154;98,71;620;155;25;155;100;152;98,06
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555517;Bellova Ves;1;256;135;52,73;135;100;134;99,25;252;116;46,03;116;100;114;98,27
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501484;Blahová;1;308;167;54,22;167;100;166;99,4;311;124;39,87;124;100;121;97,58
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501492;Blatná na Ostrove;1;766;322;42,03;322;100;320;99,37;769;276;35,89;276;100;274;99,27
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;503461;Bodíky;1;286;135;47,2;135;100;135;100;311;177;56,91;177;100;177;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501506;Bohe¾ov;1;296;102;34,45;102;100;101;99,01;294;84;28,57;84;100;83;98,8
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501514;Èakany;1;504;269;53,37;269;100;267;99,25;505;235;46,53;235;100;234;99,57
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;580554;Èenkovce;2;902;367;40,68;367;100;367;100;808;345;42,69;345;100;345;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501531;Èiliská Radvaò;1;986;184;18,66;184;100;182;98,91;987;168;17,02;168;100;166;98,8
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501549;Dobrohoš;1;433;216;49,88;216;100;215;99,53;441;204;46,25;204;100;202;99,01
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501557;Dolnı Bar;1;597;198;33,16;197;99,49;196;99,49;598;163;27,25;163;100;162;99,38
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501611;Dolnı Štál;2;1624;409;25,18;409;100;406;99,26;1632;352;21,56;352;100;343;97,44
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501433;Dunajská Streda;18;19293;6041;31,31;6034;99,88;5991;99,28;19279;5827;30,22;5825;99,96;5762;98,91
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555541;Dunajskı Klátov;1;578;149;25,77;149;100;148;99,32;574;136;23,69;136;100;136;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501573;Gabèíkovo;4;4332;1204;27,79;1204;100;1194;99,16;4428;1113;25,13;1113;100;1075;96,58
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501581;Holice;2;1770;602;34,01;602;100;598;99,33;1742;494;28,35;490;99,19;487;99,38
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501590;Horná Potôò;3;1731;601;34,71;601;100;601;100;1738;529;30,43;528;99,81;523;99,05
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555568;Horné Mıto;1;782;159;20,33;159;100;157;98,74;780;148;18,97;148;100;143;96,62
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501603;Hornı Bar;2;1053;438;41,59;438;100;437;99,77;1059;393;37,11;393;100;388;98,72
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501620;Hubice;1;526;273;51,9;273;100;271;99,26;516;251;48,64;251;100;249;99,2
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501638;Hviezdoslavov;1;1379;886;64,24;886;100;883;99,66;1513;830;54,85;830;100;821;98,91
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501654;Jahodná;1;1398;339;24,24;339;100;336;99,11;1411;344;24,37;344;100;344;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501662;Janíky;2;755;414;54,83;414;100;411;99,27;770;358;46,49;358;100;356;99,44
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501671;Jurová;1;397;140;35,26;140;100;140;100;398;107;26,88;107;100;105;98,13
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501689;K¾úèovec;1;311;92;29,58;92;100;89;96,73;313;76;24,28;76;100;73;96,05
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501697;Kostolné Kraèany;1;1160;436;37,58;436;100;435;99,77;1164;325;27,92;325;100;323;99,38
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501701;Krá¾ovièove Kraèany;1;899;293;32,59;293;100;291;99,31;898;229;25,5;229;100;229;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501719;Kútniky;2;1155;448;38,78;448;100;445;99,33;1152;386;33,5;386;100;384;99,48
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501727;Kvetoslavov;2;1262;799;63,31;799;100;795;99,49;1274;696;54,63;696;100;691;99,28
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;580597;Kyselica;1;160;72;45;72;100;72;100;169;80;47,33;80;100;78;97,5
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501735;Lehnice;2;2315;888;38,35;886;99,77;876;98,87;2330;748;32,1;747;99,86;739;98,92
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501743;Lúè na Ostrove;2;614;217;35,34;217;100;217;100;619;195;31,5;195;100;191;97,94
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555606;Macov;1;325;195;60;195;100;193;98,97;334;171;51,19;171;100;167;97,66
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555649;Mad;1;466;178;38,19;178;100;175;98,31;467;128;27,4;128;100;126;98,43
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555665;Malé Dvorníky;1;941;386;41,02;386;100;385;99,74;942;337;35,77;337;100;337;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501760;Medveïov;1;483;129;26,7;129;100;129;100;490;120;24,48;120;100;120;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501778;Mierovo;1;361;202;55,95;202;100;202;100;359;173;48,18;173;100;171;98,84
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501786;Michal na Ostrove;1;820;316;38,53;316;100;311;98,41;822;281;34,18;281;100;276;98,22
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501930;Òárad;1;540;193;35,74;193;100;186;96,37;548;198;36,13;198;100;193;97,47
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501808;Novı ivot;3;1836;674;36,71;674;100;664;98,51;1842;665;36,1;665;100;662;99,54
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501816;Ohrady;1;1120;299;26,69;299;100;298;99,66;1114;255;22,89;255;100;252;98,82
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501824;Okoè;3;3100;605;19,51;605;100;575;95,04;3158;487;15,42;487;100;470;96,5
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501832;O¾dza;1;403;210;52,1;210;100;209;99,52;403;191;47,39;191;100;188;98,42
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501859;Orechová Potôò;2;1463;456;31,16;456;100;453;99,34;1436;420;29,24;420;100;416;99,04
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501867;Padáò;1;740;186;25,13;186;100;186;100;740;162;21,89;162;100;162;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501883;Pataš;1;658;102;15,5;102;100;102;100;654;76;11,62;76;100;76;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;582522;Potônske Lúky;1;229;87;37,99;87;100;86;98,85;231;75;32,46;75;100;74;98,66
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555720;Povoda;1;803;272;33,87;272;100;269;98,89;804;261;32,46;261;100;260;99,61
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501891;Rohovce;1;922;400;43,38;399;99,75;394;98,74;918;329;35,83;329;100;323;98,17
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501875;Sap;1;441;121;27,43;121;100;119;98,34;441;112;25,39;112;100;109;97,32
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501905;Šamorín;9;10981;5058;46,06;5058;100;5027;99,38;10873;4526;41,62;4524;99,95;4463;98,65
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501913;Štvrtok na Ostrove;1;1437;631;43,91;631;100;626;99,2;1439;538;37,38;538;100;529;98,32
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501921;Topo¾níky;3;2578;721;27,96;721;100;713;98,89;2576;569;22,08;569;100;566;99,47
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555576;Trhová Hradská;2;1860;505;27,15;505;100;501;99,2;1863;386;20,71;385;99,74;380;98,7
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501956;Trnávka;1;418;196;46,88;196;100;196;100;420;154;36,66;154;100;154;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501964;Trstená na Ostrove;1;498;176;35,34;176;100;170;96,59;503;170;33,79;170;100;168;98,82
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501972;Ve¾ká Paka;1;776;420;54,12;420;100;417;99,28;765;397;51,89;397;100;393;98,99
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501981;Ve¾ké Blahovo;1;1241;326;26,26;326;100;323;99,07;1243;263;21,15;263;100;262;99,61
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555673;Ve¾ké Dvorníky;1;1047;305;29,13;305;100;300;98,36;1048;266;25,38;266;100;264;99,24
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501522;Ve¾kı Meder;8;7097;1570;22,12;1570;100;1561;99,42;7084;1426;20,12;1426;100;1409;98,8
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;555746;Vieska;1;360;160;44,44;160;100;159;99,37;360;128;35,55;128;100;128;100
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;501999;Vojka nad Dunajom;1;410;212;51,7;212;100;210;99,05;442;231;52,26;231;100;229;99,13
2;Trnavskı kraj;201;Dunajská Streda;201;Dunajská Streda;502006;Vrakúò;2;2255;715;31,7;714;99,86;705;98,73;2261;560;24,76;559;99,82;557;99,64
